"filename", "language", "Python", "comment", "blank", "total"
"/home/adnan-zaman/Desktop/contextforge/backend/app/dependencies.py", "Python", 35, 42, 16, 93
"/home/adnan-zaman/Desktop/contextforge/backend/app/main.py", "Python", 32, 37, 12, 81
"/home/adnan-zaman/Desktop/contextforge/backend/app/routes/query.py", "Python", 64, 63, 13, 140
"/home/adnan-zaman/Desktop/contextforge/backend/app/schemas/github.py", "Python", 0, 0, 1, 1
"/home/adnan-zaman/Desktop/contextforge/backend/app/services/ingest_service.py", "Python", 48, 50, 11, 109
"/home/adnan-zaman/Desktop/contextforge/backend/app/services/query_service.py", "Python", 22, 57, 8, 87
"/home/adnan-zaman/Desktop/contextforge/backend/core/generation/base_llm.py", "Python", -5, -60, 5, -60
"/home/adnan-zaman/Desktop/contextforge/backend/core/orchestrator.py", "Python", -2, -81, 6, -77
"/home/adnan-zaman/Desktop/contextforge/backend/core/pipeline.py", "Python", 0, -13, 0, -13
"Total", "-", 194, 95, 72, 361